Timestamp_UTC,Symbol,Side,Regime,Raw_Proba,Calib_Proba,Threshold,Expected_PF,EV_Adj,Uncertainty,Status,Reject_Reason,Outcome_1H_PnL,Outcome_6H_PnL,Outcome_12H_PnL
2026-05-06T20:00:31.854318,AVAXUSDT,SHORT,0,0.4814,0.4814,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:32.368965,LINKUSDT,LONG,0,0.2102,0.2102,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.210 < 0.7),,,
2026-05-06T20:00:32.368965,LINKUSDT,SHORT,0,0.4057,0.4057,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:32.882249,NEARUSDT,LONG,0,0.0818,0.0818,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.082 < 0.7),,,
2026-05-06T20:00:32.882249,NEARUSDT,SHORT,0,0.4284,0.4284,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:33.382762,ADAUSDT,LONG,0,0.1069,0.1069,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.107 < 0.7),,,
2026-05-06T20:00:33.382762,ADAUSDT,SHORT,0,0.54,0.54,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:34.150332,BTCUSDT,LONG,0,0.2796,0.2796,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.280 < 0.7),,,
2026-05-06T20:00:34.151330,BTCUSDT,SHORT,0,0.6708,0.6708,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:35.081159,ETHUSDT,LONG,0,0.7783,0.7783,0.7,1.131,0.0,0.0,PASSED_T1,,,,
2026-05-06T20:00:35.082158,ETHUSDT,SHORT,0,0.3716,0.3716,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:35.861112,SOLUSDT,LONG,0,0.2919,0.2919,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.292 < 0.7),,,
2026-05-06T20:00:35.862111,SOLUSDT,SHORT,0,0.2942,0.2942,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:36.655012,BNBUSDT,LONG,0,0.3425,0.3425,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.343 < 0.7),,,
